iter	RMSE
0	10.26740615
1	9.946471822
2	9.631510448
3	9.344272241
4	9.05895521
5	8.784035394
6	8.511645421
7	8.255484554
8	8.002865609
9	7.767280489
10	7.531832859
11	7.315605207
12	7.084933401
13	6.879952589
14	6.683307431
15	6.4930727
16	6.301520961
17	6.110215853
18	5.923917181
19	5.764649424
20	5.617257343
21	5.464163904
22	5.32204867
23	5.187660615
24	5.04038462
25	4.904951421
26	4.777450413
27	4.656642992
28	4.536766665
29	4.42384596
30	4.327596597
31	4.221052295
32	4.128421583
33	4.035626206
34	3.944740364
35	3.867701187
36	3.783654963
37	3.70219952
38	3.627858337
39	3.54429288
40	3.463489139
41	3.38598358
42	3.314785129
43	3.2549681
44	3.190185731
45	3.131703143
46	3.074658708
47	3.016260536
48	2.954538192
49	2.907218619
50	2.854238138
51	2.806571856
52	2.754305115
53	2.706210555
54	2.666378383
55	2.616922439
56	2.579778494
57	2.534448262
58	2.496462546
59	2.452319917
60	2.415359765
61	2.37623603
62	2.351370144
63	2.323601163
64	2.297408037
65	2.268146974
66	2.249798031
67	2.220506877
68	2.189146549
69	2.160572747
70	2.132720837
71	2.112517822
72	2.087967496
73	2.066535001
74	2.042885835
75	2.014438467
76	1.993420014
77	1.975740238
78	1.952680323
79	1.935634603
80	1.915508243
81	1.895022129
82	1.877952771
83	1.85816215
84	1.84090161
85	1.82722685
86	1.815373196
87	1.799950079
88	1.784059102
89	1.768396742
90	1.752885082
91	1.738955368
92	1.732302179
93	1.724930055
94	1.715907982
95	1.704289266
96	1.692166025
97	1.684279079
98	1.671075481
99	1.661284536
100	1.653379033
101	1.644017972
102	1.633905806
103	1.62400167
104	1.613788229
105	1.599743014
106	1.590478208
107	1.576919448
108	1.567740993
109	1.558618225
110	1.552310972
111	1.544933624
112	1.536007368
113	1.529640025
114	1.519275441
115	1.509320868
116	1.502134143
117	1.496077245
118	1.487333445
119	1.480237039
120	1.475074296
121	1.468634986
122	1.462793741
123	1.454810213
124	1.448105463
125	1.439910476
126	1.435182918
127	1.427361858
128	1.421367
129	1.415574735
130	1.411309401
131	1.405306245
132	1.396548303
133	1.391173293
134	1.383639926
135	1.379445709
136	1.374924037
137	1.36865817
138	1.362349532
139	1.357560002
140	1.354091611
141	1.346694042
142	1.342599972
143	1.337765955
144	1.333024712
145	1.326220214
146	1.321884168
147	1.315462471
148	1.312459053
149	1.306576738
150	1.302584363
151	1.298788024
152	1.29427041
153	1.290489057
154	1.285372905
155	1.282277261
156	1.27930795
157	1.275509687
158	1.26903208
159	1.265453768
160	1.263006358
161	1.25954992
162	1.25571377
163	1.251820811
164	1.245641659
165	1.239271149
166	1.236463786
167	1.232811496
168	1.226247779
169	1.222097677
170	1.218386113
171	1.21471175
172	1.210696705
173	1.20642055
174	1.204112157
175	1.200887902
176	1.197215948
177	1.192126056
178	1.186829059
179	1.184756612
180	1.183240085
181	1.179827758
182	1.177237845
183	1.173606943
184	1.171595564
185	1.167732795
186	1.164003126
187	1.162010795
188	1.159763726
189	1.155547091
190	1.152299524
191	1.149285973
192	1.144889258
193	1.140797819
194	1.138185934
195	1.135539215
196	1.134126683
197	1.130267087
198	1.127787158
199	1.12456765
200	1.120957136
201	1.118647242
202	1.114652647
203	1.113410112
204	1.111771301
205	1.110074144
206	1.1075615
207	1.106555839
208	1.105283993
209	1.103109587
210	1.101090294
211	1.100072505
212	1.094864578
213	1.093835441
214	1.089101152
215	1.087619123
216	1.0838219
217	1.079525456
218	1.078918308
219	1.076849771
220	1.076244666
221	1.072528769
222	1.068604276
223	1.06770489
224	1.066831338
225	1.064232698
226	1.061468681
227	1.057839634
228	1.056626147
229	1.056078374
230	1.055331699
231	1.054557577
232	1.052237704
233	1.051603006
234	1.051086734
235	1.050637531
236	1.044148989
237	1.043617007
238	1.037387492
239	1.036723099
240	1.033757961
241	1.031467763
242	1.027520691
243	1.021658429
244	1.019515877
245	1.018841819
246	1.014842362
247	1.013561087
248	1.01310637
249	1.011916891
250	1.009284552
251	1.008468045
252	1.008038977
253	1.002185825
254	1.001586796
255	0.9989920276
256	0.9978043819
257	0.9966711211
258	0.9912256847
259	0.9884642649
260	0.9880644858
261	0.9857076993
262	0.9846842562
263	0.9797784315
264	0.9764911499
265	0.9711567308
